TECH_NUMBER/	TECHNAME/		CATEGORY/	Prereq_tech1/	Prereq_tech2/	Prereq_item/	Difficulty/ 	TOOLTIP/
29/		Alien Archaeology/	21/		26/		1/		0/		10/		By training some of our colonists in archaeology, we may be able to uncover hidden secrets, resources, and data from the alien ruins on the planet./
30/		Flamethrowers/		6/		15/		16/		0/		12/		Allows you to build flamethrowers, the most advanced human close range weapon./
31/		Powered armor/		24/		23/		30/		0/		14/		Allows you to build powered armor./
32/		Sniping/		6/		21/		25/		0/		14/		Allows you to build the sniper rifle, the first weapon with range 3./
33/		REMOVED/		6/		2/		2/		0/		12/		Allows you to build the light machine gun, an improved automatic weapon./
34/		Antimatter Containment/	24/		15/		31/		0/		14/		Allows you to build the antimatter plant, which improves energy income./
35/		Genetic Engineering/	16/		15/		24/		0/		14/		Allows you to build the gene bank, which improves population growth./
36/		Preservatives/		16/		19/		18/		0/		10/		This tech passively prevents loss of food and wood from spoilage and rotting./
37/		Xenophysics/		6/		14/		15/		0/		14/		We have begun to encounter materials and techs that defy our understanding of physics. We will need a new discipline - xenophysics - to master them./
38/		Weapon Accessories/	6/		13/		1/		0/		8/		Allows you to build accessories in the workshop to enhance the offensive abilities of your soldiers./
39/		Armor Accesories/	6/		20/		38/		0/		10/		Allows you to build accessories in the workshop to enhance the defensive abilities of your soldiers./
40/		Advanced Accesories/	6/		32/		18/		0/		12/		Allows you to build sophisticated gear in the workshop to enhance your soldiers./
41/		Outsider Tech Analysis/	21/		26/		1/		22/		12/		The technology of the outsiders self-destructs if the operator is killed or captured. However, we may still be able to use the fragments to further our own research./
42/		Railguns/		24/		41/		22/		22/		14/		We believe we can use the outsider technology to construct a new generation of automatic weapons./
43/		Laser Rifles/		24/		42/		34/		22/		14/		These upgraded weapons replace our existing sniper rifles with a new generation of equipment./
44/		High-energy workshops/	24/		1/		1/		1/		8/		These improved workshops will be used to construct advanced, energy-based equipment./
45/		Energy Shielding/	24/		31/		41/		22/		16/		We believe we can use the outsider technology to construct a new generation of defensive shielding./
46/		High-energy tools/	24/		44/		41/		22/		8/		These tools can be used to enhance our workers in sophisticated tasks./
47/		Fusion Rifles/		24/		43/		46/		22/		16/		Fusion rifles represent the ultimate energy-based weapon, and replace our existing sniper and laser rifles./
48/		Psi sword deconstruction/21/		26/		1/		34/		14/		Taking apart the psi sword we have found may open up future research paths, but we will lose the weapon./
49/		Psi energy extraction/	16/		48/		34/		0/		14/		With this technology, we can extract psionic energy./
50/		Psi projectors/		16/		49/		32/		0/		16/		These psi projectors will represent a new paradigm in weapons technology, psionically eliminating enemies from vast distances./
51/		Psi shielding/		16/		56/		45/		22/		17/		These psi shields will provide unmatched defense for our soldiers./
52/		Food Replication/	24/		56/		8/		22/		14/		Outsider tech may allow us to replicate food, greatly increasing productivity./
53/		Wood Replication/	24/		56/		7/		22/		12/		Outsider tech may allow us to replicate wood, greatly increasing productivity./
54/		Metal Replication/	24/		56/		17/		22/		12/		Outsider tech may allow us to replicate metals, greatly increasing production./
55/		Energy Replication/	24/		56/		34/		22/		14/		Outsider tech may allow us to replicate energy, greatly increasing production./
56/		Outsider-psi tech/	21/		49/		41/		22/		14/		It may be possible to merge psionic tech with outsider tech, unlocking even more advanced options./
57/		Deathrays/		21/		47/		51/		22/		17/		The deathray is an even more powerful version of the psi projector./
